route,code_1,code_2,airport_1,airport_2,DepCountry,ArrCountry,DepAirport,ArrAirport,lat_1,long_1,lat_2,long_2,distance,EmissionsKgsCO2e
68,ZQN,CHC,Queenstown,Christchurch,New Zealand,New Zealand,Queenstown (ZQN),Christchurch (CHC),-45.031162,168.662643,-43.531,172.6365,347,67.318
69,ROT,AKL,Rotorua,Auckland,New Zealand,New Zealand,Rotorua (ROT),Auckland (AKL),-38.1378,176.2514,-36.8406,174.74,182,35.308
70,ROT,WLG,Rotorua,Wellington,New Zealand,New Zealand,Rotorua (ROT),Wellington (WLG),-38.1378,176.2514,-41.2889,174.7772,380,73.72
71,ROT,CHC,Rotorua,Christchurch,New Zealand,New Zealand,Rotorua (ROT),Christchurch (CHC),-38.1378,176.2514,-43.531,172.6365,677,131.338
72,TUO,AKL,Taupo,Auckland,New Zealand,New Zealand,Taupo (TUO),Auckland (AKL),-38.6875,176.0694,-36.8406,174.74,223,43.262
73,TRG,AKL,Tauranga,Auckland,New Zealand,New Zealand,Tauranga (TRG),Auckland (AKL),-37.6833,176.1667,-36.8406,174.74,145,28.13
74,TRG,WLG,Tauranga,Wellington,New Zealand,New Zealand,Tauranga (TRG),Wellington (WLG),-37.6833,176.1667,-41.2889,174.7772,423,82.062
75,TRG,CHC,Tauranga,Christchurch,New Zealand,New Zealand,Tauranga (TRG),Christchurch (CHC),-37.6833,176.1667,-43.531,172.6365,716,138.904
76,TIU,WLG,Timaru,Wellington,New Zealand,New Zealand,Timaru (TIU),Wellington (WLG),-44.3931,171.2508,-41.2889,174.7772,442,85.748
77,CHT,AKL,Chatham Islands,Auckland,New Zealand,New Zealand,Chatham Islands (CHT),Auckland (AKL),-43.9514,-176.5611,-36.8406,174.74,1058,205.252
78,CHT,WLG,Chatham Islands,Wellington,New Zealand,New Zealand,Chatham Islands (CHT),Wellington (WLG),-43.9514,-176.5611,-41.2889,174.7772,768,148.992
